Date,Open,High,Low,Close,Price,Volume
1/2/2019,21.190001,21.629999,20.84,21.049999,19.557388,7150000
1/3/2019,21.09,21.35,20.540001,20.91,19.427317,6672900
1/4/2019,21.34,22.120001,21.27,21.959999,20.402863,5040400
1/7/2019,21.940001,22.75,21.82,22.549999,20.951027,4740000
1/8/2019,22.83,23.27,22.639999,23.209999,21.56423,4959100
1/9/2019,23.5,23.780001,23.17,23.17,21.527065,5217000
1/10/2019,23.02,23.77,22.93,23.35,21.694302,5316500
1/11/2019,23.139999,23.25,22.700001,23.1,21.462027,4876100
1/14/2019,22.860001,23.360001,22.690001,23.24,21.592104,4804100
1/15/2019,23.360001,23.65,22.950001,23.02,21.387699,3370700
1/16/2019,22.93,23.280001,22.780001,23.15,21.508482,4029200
1/17/2019,22.91,23.709999,22.77,23.65,21.97303,3884300
1/18/2019,23.98,24.360001,23.73,24.120001,22.409704,4566700
1/22/2019,23.870001,24.02,23.49,23.77,22.08452,5088900
1/23/2019,23.76,23.9,22.940001,22.98,21.350533,4654900
1/24/2019,22.84,23.360001,22.790001,23.040001,21.406281,4706600
1/25/2019,23.309999,23.66,22.98,23.49,21.824373,6687200
1/28/2019,23.280001,23.280001,22.620001,22.98,21.350533,4181100
1/29/2019,23.209999,23.360001,23.02,23.16,21.517775,3365200
1/30/2019,23.280001,24.16,23.18,23.940001,22.242466,4274900
1/31/2019,24.07,24.959999,23.440001,23.57,21.898705,9064600
2/1/2019,23.52,24.59,23.379999,24.35,22.797497,4559400
2/4/2019,24.27,25.01,23.959999,24.58,23.012829,6067000
2/5/2019,24.559999,25.200001,24.549999,25.030001,23.434139,6189200
2/6/2019,25.02,25.370001,24.860001,24.879999,23.293701,4800900
2/7/2019,24.690001,25.040001,23.860001,24.389999,22.834942,5052300
2/8/2019,24.280001,24.690001,24.18,24.610001,23.040916,4403700
2/11/2019,24.42,24.940001,24.33,24.82,23.237526,3831100
2/12/2019,25.120001,25.299999,24.58,24.74,23.162628,6388400
2/13/2019,24.76,25.57,24.709999,25.129999,23.527763,4004400
2/14/2019,25,25.75,24.98,25.639999,24.005245,6223600
2/15/2019,25.889999,26.030001,25.68,25.83,24.183134,4119200
2/19/2019,25.690001,26.139999,25.549999,26.09,24.426556,2939700
2/20/2019,26.129999,26.98,26.129999,26.58,24.885315,4672700
2/21/2019,26.67,26.67,26.120001,26.27,24.595079,4052300
2/22/2019,26.49,26.559999,26.209999,26.35,24.669979,3507200
2/25/2019,26.26,26.92,26.18,26.75,25.044474,3393000
2/26/2019,26.780001,27.09,26.440001,26.75,25.044474,4086700
2/27/2019,26.799999,26.889999,26.530001,26.67,24.969576,2526600
2/28/2019,26.76,26.799999,26.16,26.379999,24.698065,4311600
3/1/2019,26.58,27.129999,26.530001,27.1,25.37216,4128500
3/4/2019,27.280001,27.51,26.73,27.09,25.362799,4308300
3/5/2019,27.15,27.18,26.76,27.110001,25.381523,4287700
3/6/2019,27.030001,27.030001,26.18,26.309999,24.632528,4412400
3/7/2019,26.290001,26.360001,25.75,26.049999,24.389107,3988700
3/8/2019,25.639999,25.790001,25.219999,25.73,24.089508,3554700
3/11/2019,26.08,26.780001,26.030001,26.5,24.810415,4563000
3/12/2019,26.65,26.91,26.57,26.82,25.11001,3879400
3/13/2019,27.08,27.370001,26.959999,27.25,25.512594,3097600
3/14/2019,27.280001,27.790001,27.25,27.709999,25.943266,5624200
3/15/2019,27.559999,28.030001,27.559999,27.85,26.074343,9978700
3/18/2019,28.01,28.41,28.01,28.18,26.383303,4398000
3/19/2019,28.459999,28.610001,27.66,27.82,26.046255,4848400
3/20/2019,27.84,28.48,27.629999,28.25,26.448839,4939700
3/21/2019,28.17,28.65,27.959999,28.459999,26.645447,3163700
3/22/2019,28.27,28.32,27.15,27.16,25.428333,4306300
3/25/2019,26.950001,27.469999,26.889999,27.43,25.681124,2448300
3/26/2019,27.68,28.110001,27.34,27.68,25.915182,2738100
3/27/2019,27.690001,27.879999,27.110001,27.280001,25.540682,2487800
3/28/2019,27.16,27.450001,26.870001,27.16,25.428333,3084900
3/29/2019,27.48,27.82,27.32,27.719999,25.952629,7450800
4/1/2019,27.92,28.15,27.639999,27.84,26.06498,4567200
4/2/2019,27.860001,27.93,26.84,26.99,25.269175,5730000
4/3/2019,27.18,27.440001,26.25,26.469999,24.782328,5338000
4/4/2019,26.559999,26.780001,26.18,26.77,25.0632,4255900
4/5/2019,26.83,27.139999,26.65,26.780001,25.072563,3982600
4/8/2019,26.85,27.27,26.49,26.82,25.11001,4881700
4/9/2019,26.690001,26.83,26.379999,26.68,24.978939,4457700
4/10/2019,26.809999,26.98,26.68,26.870001,25.156822,3018900
4/11/2019,26.84,26.99,26.389999,26.66,24.960213,2695500
4/12/2019,27.07,27.129999,26.33,26.379999,24.698065,4508600
4/15/2019,26.25,26.440001,25.92,25.950001,24.295483,2892500
4/16/2019,26.049999,26.139999,25.610001,25.84,24.192497,4412300
4/17/2019,25.98,26.280001,25.57,25.780001,24.136324,3486900
4/18/2019,25.870001,26.049999,25.440001,25.6,23.967798,2879400
4/22/2019,25.809999,26.68,25.65,26.6,24.904039,4087700
4/23/2019,26.6,26.93,25.809999,25.969999,24.314207,7332300
4/24/2019,26.08,26.24,25.58,25.610001,23.97716,3725300
