Date,Open,High,Low,Close,Price,Volume
1/2/2020,25.68,25.73,25.34,25.610001,24.553495,4714900
1/3/2020,25.950001,25.99,25.360001,25.639999,24.582258,3125700
1/6/2020,25.719999,25.790001,25.459999,25.52,24.467211,4248600
1/7/2020,25.26,25.459999,24.309999,25.09,24.054949,5493400
1/8/2020,25.02,25.27,24.73,24.77,23.748148,5871700
1/9/2020,24.860001,25.1,24.540001,25.040001,24.007011,3452800
1/10/2020,24.959999,25,24.73,24.860001,23.834436,3548700
1/13/2020,24.83,24.83,24.309999,24.41,23.403002,6227500
1/14/2020,24,24.09,23.709999,24.02,23.029089,7147100
1/15/2020,23.790001,23.950001,23.209999,23.32,22.357967,4815400
1/16/2020,23.379999,23.719999,23.34,23.51,22.540129,5742700
1/17/2020,23.43,23.85,23.4,23.610001,22.636003,5454800
1/21/2020,23.48,23.51,22.68,22.73,21.792307,9750500
1/22/2020,22.84,23.360001,21.84,22.68,21.74437,8477900
1/23/2020,22.360001,23.15,22.309999,22.959999,22.012815,7188500
1/24/2020,22.85,23.049999,22.549999,22.860001,21.916945,5023600
1/27/2020,21.57,22.459999,21.52,22.049999,21.14036,5917000
1/28/2020,22.1,22.34,21.84,21.9,20.996546,5238800
1/29/2020,22.059999,22.23,21.379999,21.48,20.593874,5450300
1/30/2020,21.190001,22.360001,21.120001,22.35,21.427984,7351100
1/31/2020,21.73,21.809999,21.379999,21.66,20.935053,5341300
2/3/2020,21.57,21.84,21.43,21.51,20.790073,4837000
2/4/2020,21.82,22.040001,21.200001,21.309999,20.596766,6352300
2/5/2020,21.690001,21.969999,21.559999,21.85,21.118694,4678400
2/6/2020,21.959999,22.33,21.85,22.23,21.485975,4529100
2/7/2020,21.98,22.549999,21.879999,22.450001,21.698612,4115900
2/10/2020,22.26,22.360001,22.030001,22.15,21.408653,3184000
2/11/2020,22.49,22.58,22.110001,22.139999,21.398987,4126700
2/12/2020,22.42,22.59,21.91,22.16,21.41832,6027900
2/13/2020,22.110001,22.209999,21.969999,22.08,21.340996,3625000
2/14/2020,22.059999,22.18,21.780001,21.98,21.244343,2657700
2/18/2020,21.559999,21.639999,20.82,20.91,20.210154,6982600
2/19/2020,21.110001,21.15,20.67,20.809999,20.113503,6735100
2/20/2020,20.700001,20.959999,20.5,20.66,19.968521,5011000
2/21/2020,20.459999,20.57,20.07,20.530001,19.842873,5956200
2/24/2020,19.73,19.77,19.17,19.48,18.828016,8661100
2/25/2020,19.690001,19.700001,18.559999,18.620001,17.996801,8797800
2/26/2020,18.780001,18.780001,17.67,17.76,17.165583,11815200
2/27/2020,17.389999,17.6,16.67,16.67,16.112066,10552800
2/28/2020,16.030001,16.4,15.71,16.09,15.551477,28759000
3/2/2020,16.389999,17.190001,15.89,17.17,16.595329,10606600
3/3/2020,17.139999,17.4,16.200001,16.530001,15.976751,9925000
3/4/2020,16.809999,17.299999,16.6,17.280001,16.701649,8520500
3/5/2020,16.66,17,16.52,16.959999,16.392357,9556400
3/6/2020,16.34,16.620001,15.96,16.08,15.541812,14904900
3/9/2020,13.33,14.75,12.25,12.5,12.081633,20122900
3/10/2020,13.28,13.84,12.37,13.76,13.299461,11374600
3/11/2020,13.16,13.32,12.28,12.71,12.284604,10754200
3/12/2020,11.6,12.07,10.58,10.7,10.341877,11140900
3/13/2020,11.83,12.73,10.9,12.73,12.303935,9728900
3/16/2020,11.07,12.53,10.01,11.61,11.221419,14284800
3/17/2020,11.87,12.03,10.69,11.25,10.873469,12478600
3/18/2020,10.14,10.92,9.18,9.7,9.375347,12774000
3/19/2020,9.77,10.89,9.19,10.14,9.800621,9060500
3/20/2020,10.19,10.62,9.6,10,9.665307,12003100
3/23/2020,10.11,10.14,9.12,9.33,9.017731,9820100
