Date,Open,High,Low,Close,Price,Volume
1/2/2019,37.470001,38.740002,37.41,38.59,33.620872,5537100
1/3/2019,38.959999,39.060001,38.48,38.810001,33.812546,7137300
1/4/2019,39.57,40.080002,39.419998,40.029999,34.87545,9336700
1/7/2019,39.700001,40.310001,39.580002,40.16,34.988708,6114300
1/8/2019,40.18,40.259998,39.830002,40.029999,34.87545,5654900
1/9/2019,40.389999,40.610001,40.150002,40.360001,35.162952,6914500
1/10/2019,40.279999,40.759998,40.130001,40.700001,35.459171,4822500
1/11/2019,40.220001,40.419998,40.07,40.240002,35.058411,5746300
1/14/2019,40.150002,40.669998,40.09,40.419998,35.215225,4976000
1/15/2019,40.259998,40.650002,39.959999,40.240002,35.058411,4860400
1/16/2019,39.880001,40.220001,39.860001,40.119999,34.953854,4168900
1/17/2019,39.82,40.330002,39.740002,40.130001,34.96257,4345300
1/18/2019,40.689999,40.919998,40.48,40.759998,35.511444,6487500
1/22/2019,40.099998,40.259998,39.91,40.080002,34.919006,6175200
1/23/2019,40.279999,40.330002,39.860001,40.119999,34.953854,4603300
1/24/2019,39.900002,40.360001,39.84,40.110001,34.945145,4760700
1/25/2019,40.389999,40.41,40.080002,40.110001,34.945145,5032100
1/28/2019,39.48,39.599998,39.169998,39.57,34.474686,6037300
1/29/2019,39.939999,40.400002,39.740002,40.200001,35.023556,8915600
1/30/2019,40.299999,40.849998,40.27,40.669998,35.433041,8403500
1/31/2019,41.25,41.669998,40.959999,41.119999,35.825089,7786000
2/1/2019,41.119999,41.400002,40.98,41.34,36.016762,5731800
2/4/2019,41.18,41.41,40.860001,41.389999,36.060326,8271800
2/5/2019,42.68,42.889999,42.52,42.82,37.306187,11124300
2/6/2019,43.360001,43.41,43.040001,43.040001,37.49786,9903900
2/7/2019,43.23,43.259998,42.450001,42.700001,37.201641,8115800
2/8/2019,42.400002,42.5,42.150002,42.490002,37.018681,4970500
2/11/2019,42.220001,42.32,42.060001,42.209999,36.774731,4730900
2/12/2019,42.540001,42.639999,42.330002,42.419998,36.957691,5027500
2/13/2019,42.580002,42.849998,42.549999,42.639999,37.149364,4803000
2/14/2019,41.709999,42.07,41.669998,41.869999,37.012348,4634100
2/15/2019,42.189999,42.360001,42.080002,42.290001,37.383621,3463400
2/19/2019,41.889999,42.490002,41.889999,42.380001,37.463184,4014000
2/20/2019,42.400002,42.740002,42.380001,42.48,37.551575,4376400
2/21/2019,42.240002,42.419998,42.139999,42.290001,37.383621,4241800
2/22/2019,42.380001,42.540001,42.209999,42.459999,37.533897,5143900
2/25/2019,42.560001,42.68,42.349998,42.509998,37.578094,5949600
2/26/2019,42.349998,42.689999,42.310001,42.52,37.586933,4706700
2/27/2019,42.77,43.02,42.689999,42.84,37.869812,8275900
2/28/2019,42.810001,42.849998,42.599998,42.650002,37.701859,4508200
3/1/2019,42.639999,42.779999,42.389999,42.580002,37.639973,4721600
3/4/2019,42.619999,42.75,42.310001,42.639999,37.693012,4183700
3/5/2019,42.619999,42.759998,42.580002,42.740002,37.78141,3337400
3/6/2019,42.740002,42.790001,42.529999,42.700001,37.746052,3670500
3/7/2019,42.75,42.779999,42.490002,42.630001,37.684174,3770200
3/8/2019,42.040001,42.279999,41.84,42.25,37.348263,4671300
3/11/2019,42.18,42.400002,42.18,42.330002,37.41898,5621600
3/12/2019,42.130001,42.610001,42.130001,42.459999,37.533897,4624700
3/13/2019,43.099998,43.950001,43.040001,43.830002,38.744953,9871300
3/14/2019,43.919998,44.27,43.869999,43.950001,38.851032,4612300
3/15/2019,43.849998,44.040001,43.75,43.869999,38.780312,4309700
3/18/2019,43.919998,44.310001,43.919998,44.240002,39.107388,4804600
3/19/2019,44.889999,44.970001,44.380001,44.470001,39.310699,6931900
3/20/2019,44.299999,44.75,44.02,44.529999,39.363739,4616700
3/21/2019,44.549999,44.669998,44.310001,44.529999,39.363739,3949800
3/22/2019,44.200001,44.25,43.689999,43.950001,38.851032,6333500
3/25/2019,43.810001,43.900002,43.349998,43.529999,38.479759,4259200
3/26/2019,44.119999,44.290001,43.68,43.82,38.736111,5008700
3/27/2019,43.669998,43.810001,43.200001,43.59,38.532799,3691100
3/28/2019,43.380001,43.709999,43.349998,43.630001,38.568153,3267900
3/29/2019,44.080002,44.080002,43.52,43.720001,38.64772,4634900
4/1/2019,44.259998,44.259998,44.07,44.09,38.974789,4953500
4/2/2019,44.259998,44.470001,44.099998,44.23,39.098549,6284100
4/3/2019,44.48,44.48,44.07,44.23,39.098549,4135300
