Date,Open,High,Low,Close,Price,Volume
1/2/2019,107.339996,111.68,107.099998,110.690002,100.664474,6384800
1/3/2019,111.059998,111.290001,108.07,108.57,98.736496,6496200
1/4/2019,110.279999,110.989998,109.470001,110.82,100.782707,7952500
1/7/2019,111.059998,112.93,109.919998,112.260002,102.09227,5712700
1/8/2019,113.400002,113.790001,111.669998,111.769997,101.64666,5674900
1/9/2019,112.690002,114,112.449997,113.269997,103.010811,7097000
1/10/2019,112.510002,113.629997,111.709999,113.449997,103.1745,6078300
1/11/2019,113,113.050003,111.669998,112.540001,102.346916,4491700
1/14/2019,111.339996,112.339996,111.080002,111.720001,101.601189,6121700
1/15/2019,111.980003,113.07,111.510002,112.120003,101.964958,4226100
1/16/2019,111.43,112.32,111.220001,111.400002,101.310181,5624100
1/17/2019,110.75,112.290001,110.169998,111.959999,101.819458,4442700
1/18/2019,113.989998,114.650002,113.059998,114.370003,104.011169,9382000
1/22/2019,113.120003,113.449997,111.949997,112.339996,102.165024,7242000
1/23/2019,112.379997,112.669998,110.419998,111.389999,101.301086,6082300
1/24/2019,111.029999,113.82,110.910004,113.510002,103.22908,8470700
1/25/2019,114.059998,114.779999,112.989998,113.220001,102.965324,6261800
1/28/2019,111.910004,112.57,111.07,112.169998,102.010445,6886600
1/29/2019,113.029999,113.349998,111.769997,111.830002,101.701225,5359900
1/30/2019,112.529999,113.650002,111.980003,113.010002,102.774345,7941700
1/31/2019,113.800003,115.410004,113.379997,114.650002,104.265808,11225600
2/1/2019,116.650002,119.25,116.599998,118.370003,107.64888,10934300
2/4/2019,117.5,119.75,116.309998,119.739998,108.894791,7987900
2/5/2019,119.620003,119.860001,118.690002,119.480003,108.658348,6887400
2/6/2019,119,119.589996,118.690002,118.879997,108.112686,4990400
2/7/2019,118.010002,118.510002,116.510002,118.230003,107.521561,7281900
2/8/2019,117.739998,117.889999,115.919998,117.580002,106.930428,5671000
2/11/2019,116.93,117.360001,116.389999,116.949997,106.357483,4859600
2/12/2019,118.330002,118.870003,117.610001,118.720001,107.967178,5400700
2/13/2019,119.160004,120.389999,118.699997,119.57,108.740204,5935900
2/14/2019,118.370003,119.529999,117.660004,118.160004,108.538109,5406500
2/15/2019,119.620003,119.860001,118.589996,119.349998,109.631203,6209800
2/19/2019,118.900002,119.860001,118.459999,119.309998,109.594452,4277800
2/20/2019,119.309998,120.720001,119,120.279999,110.485474,5940600
2/21/2019,120.07,120.32,118.389999,119.139999,109.438301,5139400
2/22/2019,120.279999,120.459999,118.849998,119.389999,109.667938,4517600
2/25/2019,119.410004,120.419998,119.370003,119.620003,109.879219,5196600
2/26/2019,119.809998,120.970001,119.68,119.940002,110.173157,5445600
2/27/2019,120.290001,121.290001,119.889999,120.080002,110.30175,5289800
2/28/2019,120,120.160004,118.489998,119.580002,109.842476,6406500
3/1/2019,120.389999,122.040001,120.169998,122.029999,112.092964,7743600
3/4/2019,122.669998,122.839996,120.550003,122.120003,112.175636,7499500
3/5/2019,121.870003,123.349998,121.589996,123.290001,113.250359,7345200
3/6/2019,123.169998,124.699997,122.300003,123.529999,113.47081,7599900
3/7/2019,123.419998,123.5,121.699997,121.940002,112.010292,7201100
3/8/2019,120.099998,121.93,119.199997,121.620003,111.716354,7014100
3/11/2019,122.870003,124.199997,122.75,123.620003,113.553497,6088600
