Date,Open,High,Low,Close,Price,Volume
1/2/2019,30.92,31.559999,30.809999,31.5,27.713974,443200
1/3/2019,31.75,31.809999,31.49,31.709999,27.898731,230700
1/4/2019,32.330002,32.84,32.290001,32.84,28.892914,208100
1/7/2019,32.5,32.84,32.41,32.689999,28.760942,329200
1/8/2019,32.580002,32.580002,32.330002,32.439999,28.540991,178800
1/9/2019,32.779999,33.07,32.75,33.060001,29.086473,244900
1/10/2019,32.59,32.98,32.549999,32.950001,28.989695,346700
1/11/2019,32.540001,32.720001,32.369999,32.700001,28.769743,363500
1/14/2019,32.27,33.41,32.25,32.619999,28.699356,427700
1/15/2019,32.610001,32.810001,32.419998,32.630001,28.708157,189700
1/16/2019,32.389999,32.650002,32.380001,32.540001,28.628973,189400
1/17/2019,32.529999,32.799999,32.419998,32.669998,28.743345,166200
1/18/2019,33.299999,33.490002,33.130001,33.439999,29.420801,156000
1/22/2019,32.939999,33.049999,32.84,32.950001,28.989695,237800
1/23/2019,32.93,32.950001,32.5,32.59,28.672964,199200
1/24/2019,32.52,32.830002,32.389999,32.599998,28.681759,143800
1/25/2019,33.110001,33.279999,33.049999,33.200001,29.209646,135300
1/28/2019,33.029999,33.189999,32.93,33.049999,29.077675,284600
1/29/2019,33.25,33.380001,33.189999,33.299999,29.297628,174700
1/30/2019,33.470001,33.77,33.299999,33.650002,29.60556,164800
1/31/2019,33.959999,34.130001,33.709999,33.880001,29.807917,163600
2/1/2019,33.880001,34.049999,33.720001,33.91,29.834312,123500
2/4/2019,33.77,34.07,33.610001,34.02,29.931093,132700
2/5/2019,34.18,34.27,33.98,34.060001,29.966282,222500
2/6/2019,33.84,33.939999,33.77,33.82,29.755129,106300
2/7/2019,33.310001,33.43,32.950001,33.09,29.112867,117400
2/8/2019,32.98,33.139999,32.740002,33,29.033684,84600
2/11/2019,32.98,33.5,32.950001,33.169998,29.183252,117100
2/12/2019,33.48,33.650002,33.41,33.48,29.455994,165800
2/13/2019,33.59,33.75,33.330002,33.400002,29.385611,87100
2/14/2019,33.360001,33.580002,33.34,33.529999,29.499983,120200
2/15/2019,34.049999,34.25,33.970001,34.240002,30.124647,393400
2/19/2019,34.209999,34.759998,34.209999,34.700001,30.529362,270400
2/20/2019,34.52,34.830002,34.490002,34.66,30.494167,95400
2/21/2019,34.630001,34.700001,34.41,34.529999,30.379793,131600
2/22/2019,34.700001,34.849998,34.630001,34.759998,30.582144,113300
2/25/2019,34.75,34.799999,34.450001,34.59,30.432583,135400
2/26/2019,34.52,34.68,34.459999,34.509998,30.362194,125200
2/27/2019,34.66,34.779999,34.48,34.48,30.335802,127500
2/28/2019,34.560001,34.689999,34.41,34.549999,30.397387,176600
3/1/2019,34.41,34.439999,34.23,34.389999,30.256618,110100
3/4/2019,34.32,34.419998,34.150002,34.279999,30.159838,283800
3/5/2019,34.439999,34.509998,34.299999,34.439999,30.30061,70600
3/6/2019,34.599998,34.610001,34.450001,34.529999,30.379793,84800
3/7/2019,34.549999,34.619999,34.049999,34.080002,29.983881,170300
3/8/2019,33.68,33.790001,33.540001,33.720001,29.66715,232400
3/11/2019,33.84,34.049999,33.84,34.040001,29.948685,92300
3/12/2019,34.02,34.240002,34.009998,34.130001,30.027866,165300
3/13/2019,34.700001,35.23,34.689999,35.189999,30.960464,331800
3/14/2019,35.240002,35.349998,35.040001,35.07,30.854889,109700
3/15/2019,35.279999,35.389999,35.189999,35.279999,31.039648,361500
3/18/2019,35.52,35.849998,35.509998,35.810001,31.505947,137800
3/19/2019,36.029999,36.119999,35.779999,35.939999,31.620323,121100
3/20/2019,35.919998,36.34,35.720001,36.169998,31.82268,108600
3/21/2019,36.099998,36.189999,35.900002,36.060001,31.725903,56700
3/22/2019,35.630001,35.720001,35.259998,35.439999,31.180416,217300
3/25/2019,35.299999,35.41,35.169998,35.25,31.013256,144600
3/26/2019,35.27,35.400002,35.139999,35.259998,31.022049,106300
3/27/2019,35.18,35.240002,34.849998,35.09,30.872484,68800
3/28/2019,34.77,34.98,34.759998,34.970001,30.766911,267300
3/29/2019,35.240002,35.330002,35.09,35.240002,31.004459,106400
4/1/2019,35.389999,35.630001,35.34,35.560001,31.285997,72200
4/2/2019,35.48,35.57,35.34,35.419998,31.162819,109800
4/3/2019,35.68,35.790001,35.549999,35.619999,31.338783,105500
4/4/2019,35.360001,35.43,35.23,35.369999,31.118832,71800
4/5/2019,35.5,35.720001,35.459999,35.689999,31.400368,145400
4/8/2019,35.650002,35.779999,35.470001,35.529999,31.2596,369400
4/9/2019,35.720001,35.799999,35.549999,35.650002,31.365179,602000
4/10/2019,35.740002,36.060001,35.68,35.959999,31.637917,190900
4/11/2019,35.900002,35.93,35.650002,35.75,31.453157,110400
4/12/2019,36,36.009998,35.540001,35.59,31.312389,132900
4/15/2019,35.290001,35.389999,35.18,35.290001,31.048449,147500
4/16/2019,34.860001,34.869999,34.68,34.790001,30.608543,203200
4/17/2019,34.970001,35.02,34.82,34.869999,30.678926,104100
4/18/2019,34.689999,34.759998,34.549999,34.709999,30.538158,108000
4/22/2019,34.860001,35.360001,34.860001,35.209999,30.978058,114200
4/23/2019,35.389999,35.540001,35.299999,35.360001,31.110033,153700
4/24/2019,34.889999,34.889999,34.380001,34.419998,30.283012,350300
