Date,Open,High,Low,Close,Price,Volume
1/2/2020,31.26,31.49,31.02,31.48,29.389771,186500
1/3/2020,31.48,31.620001,31.48,31.559999,29.464458,171300
1/6/2020,32.080002,32.189999,32,32.119999,29.987274,216100
1/7/2020,31.77,31.98,31.73,31.940001,29.819229,174100
1/8/2020,31.709999,31.74,31.389999,31.440001,29.352427,146100
1/9/2020,31.379999,31.709999,31.190001,31.709999,29.604498,369600
1/10/2020,31.34,31.48,31.26,31.370001,29.287075,268000
1/13/2020,31.200001,31.43,31.1,31.32,29.240393,252400
1/14/2020,31,31.040001,30.809999,30.91,28.857618,233400
1/15/2020,30.74,30.809999,30.6,30.620001,28.586874,231700
1/16/2020,31.030001,31.030001,30.85,30.99,28.932306,182800
1/17/2020,30.9,31.01,30.76,31.01,28.950977,214400
1/21/2020,30.52,30.59,30.370001,30.42,28.400154,250600
1/22/2020,30.110001,30.120001,29.99,30.02,28.026714,332500
1/23/2020,29.809999,30.049999,29.59,30.030001,28.036049,154100
1/24/2020,29.940001,29.940001,29.58,29.75,27.774639,161300
1/27/2020,29.129999,29.280001,28.969999,29.059999,27.130455,210000
1/28/2020,29.34,29.57,29.27,29.469999,27.513231,269800
1/29/2020,29.4,29.459999,29.120001,29.120001,27.186472,372900
1/30/2020,28.639999,28.860001,28.5,28.790001,26.878384,180500
1/31/2020,28.200001,28.219999,27.91,27.99,26.131502,348600
2/3/2020,27.92,28.02,27.780001,27.93,26.075487,418200
2/4/2020,28.42,28.459999,28.129999,28.129999,26.262205,241400
2/5/2020,28.780001,28.870001,28.66,28.68,26.775688,172200
2/6/2020,28.74,28.74,28.43,28.440001,26.551622,426200
2/7/2020,28.25,28.32,28.110001,28.129999,26.262205,104900
2/10/2020,28.030001,28.09,27.83,27.870001,26.01947,314000
2/11/2020,28.360001,28.4,28.09,28.129999,26.262205,281800
2/12/2020,28.48,28.620001,28.379999,28.5,26.607639,268100
2/13/2020,28.049999,28.290001,28.040001,28.209999,26.336893,370800
2/14/2020,28.25,28.299999,27.969999,28.040001,26.178183,300200
2/18/2020,27.93,28.049999,27.860001,28.049999,26.187517,313400
2/19/2020,28.07,28.15,27.99,28.110001,26.243534,614600
2/20/2020,28.040001,28.139999,27.85,27.870001,26.01947,430700
2/21/2020,27.639999,27.780001,27.540001,27.58,25.748726,208100
2/24/2020,26.25,26.530001,26.09,26.360001,24.609734,324300
2/25/2020,26.379999,26.4,25.620001,25.68,23.974882,305100
2/26/2020,26.200001,26.309999,25.65,25.700001,23.993555,852900
2/27/2020,25.65,25.93,25.139999,25.18,23.508083,633900
2/28/2020,24.549999,25.1,24.190001,25,23.340033,770600
3/2/2020,24.709999,25.08,24.41,25.02,23.358706,592500
3/3/2020,24.99,25.43,24.34,24.51,22.882568,669000
3/4/2020,24.870001,24.99,24.610001,24.92,23.265347,719800
3/5/2020,24.549999,24.68,24.1,24.309999,22.695848,563600
3/6/2020,23.629999,23.75,22.75,22.809999,21.295446,1364200
3/9/2020,18.82,19.209999,17.83,17.83,16.646112,817600
3/10/2020,19.370001,19.440001,17.82,19.190001,17.91581,1468300
3/11/2020,18.4,18.59,17.73,17.9,16.711464,1197800
3/12/2020,16.809999,16.84,14.56,14.85,13.86398,950000
3/13/2020,16.51,16.6,15.04,16.27,15.189694,1226400
3/16/2020,14.21,15.02,12.1,14.14,13.201123,1082400
3/17/2020,14.78,15.58,14.5,15.07,14.069372,794200
3/18/2020,14.61,15.04,13.95,14.4,13.443859,534000
3/19/2020,14.65,15.2,14.32,15.06,14.060037,1282800
3/20/2020,15.18,15.77,15.02,15.77,14.722894,672200
3/23/2020,15.55,16.02,15.3,15.68,14.638869,516800
3/24/2020,16.93,18.139999,16.67,17.799999,16.618103,475600
3/25/2020,18.51,19.02,17.950001,18.73,17.486353,728400
3/26/2020,18.690001,19.25,18.67,19.209999,17.934483,289500
3/27/2020,18.07,18.299999,17.860001,18.02,16.823496,357000
3/30/2020,18.27,19.219999,18.17,19.139999,17.869129,585600
3/31/2020,19.719999,21.16,19.549999,19.82,18.503979,472400
4/1/2020,20.42,20.610001,19.75,19.969999,18.644018,322400
4/2/2020,21.049999,21.889999,20.85,21.57,20.137781,349200
4/3/2020,20.48,20.809999,19.719999,20.219999,18.877419,388400
4/6/2020,20.059999,20.969999,18.049999,20.969999,19.57762,406300
4/7/2020,20.809999,21.65,19.559999,20.209999,18.868084,606100
4/8/2020,20.200001,20.389999,19.940001,20.309999,18.961443,284500
4/9/2020,20.57,20.98,19.73,20.200001,18.858747,527000
4/13/2020,20.41,20.49,20,20.26,18.914764,261200
4/14/2020,20.5,20.57,19.67,20.110001,18.774723,646700
4/15/2020,19.030001,19.059999,18.620001,18.780001,17.533035,278000
4/16/2020,18.620001,18.67,18.08,18.25,17.038225,276700
4/17/2020,18.52,19.09,18.48,18.959999,17.70108,255600
4/20/2020,18.02,18.719999,17.959999,18.15,16.944864,359800
4/21/2020,17.209999,17.66,17.209999,17.58,16.412712,423400
4/22/2020,18,18.309999,17.76,18.209999,17.000881,219900
4/23/2020,18.290001,18.6,18.030001,18.25,17.038225,327100
4/24/2020,18.32,18.32,17.690001,18,16.804825,1136100
4/27/2020,17.84,18.59,17.809999,18.51,17.280962,582600
4/28/2020,18.809999,18.889999,18.459999,18.639999,17.402328,193200
