Date,Open,High,Low,Close,Price,Volume
1/2/2020,40.52,40.720001,40.080002,40.169998,38.823437,9147400
1/3/2020,41,41.139999,40,40.560001,39.200363,9752000
1/6/2020,40.610001,41.080002,40.189999,40.82,39.451649,15534100
1/7/2020,40.529999,40.610001,39.73,40.610001,39.248688,10971700
1/8/2020,40.279999,40.439999,39.310001,39.41,38.088909,11327600
1/9/2020,39.52,40.09,38.73,39.860001,38.52383,12186000
1/10/2020,39.73,40.09,39.509998,39.830002,38.494835,8089700
1/13/2020,39.830002,39.84,38.970001,39.23,37.914948,11665600
1/14/2020,38.98,39.529999,38.389999,39.529999,38.204887,13958700
1/15/2020,39.200001,39.360001,38.139999,38.330002,37.045116,13737700
1/16/2020,38.57,38.93,38.349998,38.779999,37.48003,11771100
1/17/2020,39.009998,39.970001,38.18,38.369999,37.083771,17644600
1/21/2020,37.630001,37.73,36.889999,36.950001,35.711372,16710200
1/22/2020,36.799999,36.82,36.23,36.68,35.450424,12796800
1/23/2020,36.07,36.529999,35.57,36.43,35.208805,11844000
1/24/2020,36.220001,36.220001,35.349998,35.77,34.570934,10408600
1/27/2020,34.549999,34.740002,33.869999,33.959999,32.821606,17360600
1/28/2020,34.220001,34.23,33.490002,33.959999,32.821606,10938000
1/29/2020,34.299999,34.630001,33.720001,33.73,32.599316,9003800
1/30/2020,33.139999,34.080002,33,34.040001,32.898926,10489600
1/31/2020,33.490002,33.860001,33.18,33.509998,32.386688,16887900
2/3/2020,33.439999,33.700001,33.189999,33.459999,32.338364,9205600
2/4/2020,34.23,34.73,33.950001,34.07,32.927914,12373600
2/5/2020,34.77,35.66,34.73,35.07,33.894398,11399900
2/6/2020,35.220001,35.220001,34.419998,34.509998,33.353165,7980300
2/7/2020,34,34.759998,33.880001,34.419998,33.266186,8582100
2/10/2020,34.119999,34.369999,33.810001,34.349998,33.198532,7197400
2/11/2020,34.150002,34.349998,33.869999,34.290001,33.630066,8825600
2/12/2020,35.220001,35.380001,34.439999,35.049999,34.375435,9094900
2/13/2020,34.84,35.02,33.970001,34.669998,34.00275,11718000
2/14/2020,34.810001,34.869999,34.139999,34.419998,33.757561,7904500
2/18/2020,33.900002,33.990002,32.880001,33.650002,33.00238,11792800
2/19/2020,33.880001,34.34,33.639999,34.290001,33.630066,6592300
2/20/2020,34.490002,34.709999,33.779999,33.830002,33.178917,7836000
2/21/2020,33.470001,33.549999,32.869999,33.389999,32.747383,7246300
2/24/2020,31.889999,31.99,30.809999,30.93,30.33473,16714900
2/25/2020,30.99,31.049999,29.219999,29.34,28.77533,18709700
2/26/2020,29.59,29.74,28.379999,28.379999,27.833803,19240700
2/27/2020,27.530001,28.280001,26.82,26.84,26.323444,23765700
2/28/2020,25.809999,27.16,25.450001,27.09,26.568634,26832500
3/2/2020,27.65,27.790001,26.17,27.790001,27.255159,23253000
3/3/2020,27.620001,27.91,26.27,26.809999,26.29402,22020400
3/4/2020,27.209999,27.379999,26.26,27.08,26.558826,16155900
3/5/2020,26.129999,26.25,25.24,25.83,25.332884,15754600
3/6/2020,24.879999,25.16,23.52,23.85,23.390989,23793200
3/9/2020,17.9,17.9,12.91,17.309999,16.976856,86148000
3/10/2020,19.139999,19.23,17.129999,18.190001,17.839918,40409000
3/11/2020,17.32,18.139999,17.049999,17.379999,17.045509,33291900
3/12/2020,15.62,16.690001,14.41,14.42,14.142477,47922900
3/13/2020,15.72,16.17,14.32,16.16,15.848989,29182100
3/16/2020,14.02,16.040001,13.26,14.41,14.132669,24971100
3/17/2020,14.54,14.56,13.11,14,13.730559,25536500
3/18/2020,13,13.72,11.89,12.05,11.818089,28198200
3/19/2020,12.17,14.28,11.87,13.87,13.603062,25449300
3/20/2020,14.3,14.58,13.1,14.28,14.00517,32875200
3/23/2020,14.17,14.43,12.6,12.83,12.583077,24393500
3/24/2020,13.54,14.93,13.5,14.65,14.36805,25812600
3/25/2020,14.99,15.87,13.58,14.6,14.319014,24201200
3/26/2020,14.51,15.64,14.38,15.52,15.221307,22180200
3/27/2020,14.54,14.7,13.74,13.76,13.495179,21794500
3/30/2020,13.35,13.69,12.95,13.28,13.024416,25981500
3/31/2020,13.88,13.89,13.3,13.49,13.230375,25754200
4/1/2020,13.09,13.19,12.17,12.59,12.347695,25393800
4/2/2020,13.1,14.99,12.95,13.88,13.612869,33976500
4/3/2020,14.48,14.6,13.78,14.29,14.014977,24822900
4/6/2020,14.96,15.82,14.53,15.67,15.36842,24572200
4/7/2020,16.93,17.700001,16.25,16.469999,16.153023,29091500
4/8/2020,16.9,17.389999,16.43,17.280001,16.947433,16039000
4/9/2020,18.379999,18.6,15.88,16.469999,16.153023,25107500
4/13/2020,16.620001,16.82,15.7,15.95,15.643031,16740700
4/14/2020,16,16.450001,15.45,15.54,15.24092,20214400
4/15/2020,14.67,14.98,14.02,14.73,14.446509,22681400
4/16/2020,14.64,14.79,13.96,14.05,13.779597,18242900
4/17/2020,14.72,15.4,14.2,15.28,14.985926,33939700
4/20/2020,14.07,15.74,14.01,15.21,14.917272,21290600
