Date,Open,High,Low,Close,Price,Volume
1/2/2020,60.369999,60.689999,60.119999,60.68,57.716595,1557200
1/3/2020,60.779999,61.419998,60.759998,61.330002,58.33485,3229200
1/6/2020,61.970001,62.27,61.73,61.98,58.95311,2316400
1/7/2020,61.380001,61.540001,60.93,61.52,58.515572,2339400
1/8/2020,60.959999,61.009998,60.540001,60.91,57.93536,3524400
1/9/2020,60.5,60.869999,60.099998,60.77,57.8022,2063300
1/10/2020,60.470001,60.470001,60.07,60.09,57.155407,1692500
1/13/2020,59.900002,60.259998,59.639999,60.16,57.221985,2947100
1/14/2020,60.060001,60.310001,59.759998,60.279999,57.336124,2080700
1/15/2020,60.310001,60.490002,60.02,60.419998,57.469288,2392200
1/16/2020,60.540001,60.650002,59.849998,60.139999,57.202965,3215300
1/17/2020,60,60.049999,59.759998,59.790001,56.870064,2898900
1/21/2020,58.990002,59.02,58.529999,58.549999,55.690617,6330000
1/22/2020,58.740002,58.75,58.279999,58.459999,55.605007,4405200
1/23/2020,58.139999,58.650002,57.799999,58.57,55.709641,2689300
1/24/2020,58.66,58.68,58.18,58.459999,55.605007,2195400
1/27/2020,57.259998,57.549999,56.849998,57.110001,54.320938,3353600
1/28/2020,56.759998,56.959999,56.669998,56.779999,54.007057,4860500
1/29/2020,56.5,56.57,56.060001,56.32,53.569523,4219900
1/30/2020,54.900002,54.970001,54.119999,54.849998,52.17131,5247400
1/31/2020,53.77,53.939999,53,53.279999,50.677986,5260200
2/3/2020,52.34,52.470001,51.580002,51.689999,49.165634,6117200
2/4/2020,52.650002,52.98,52.279999,52.349998,49.793404,4105500
2/5/2020,53.5,53.619999,53.18,53.41,50.801636,4830300
2/6/2020,53.16,53.18,52.369999,52.529999,49.964611,4345900
2/7/2020,52.139999,52.290001,51.950001,51.990002,49.450985,3677300
2/10/2020,51.68,51.799999,51.490002,51.790001,49.260754,3212100
2/11/2020,52.330002,52.77,52.169998,52.709999,50.135822,3146200
2/12/2020,53.32,53.779999,53.16,53.68,51.058453,4213000
2/13/2020,51.919998,52.060001,51.580002,51.709999,50.061291,3693900
2/14/2020,51.450001,51.509998,50.860001,51.32,49.683727,3579800
2/18/2020,50.709999,51.139999,50.639999,51.029999,49.402973,2824800
2/19/2020,50.799999,50.990002,50.630001,50.880001,49.257755,3900500
2/20/2020,50.419998,50.619999,50.009998,50.049999,48.454216,5082200
2/21/2020,49.580002,49.639999,49.18,49.509998,47.931431,6441400
2/24/2020,47.279999,47.759998,47.139999,47.540001,46.024246,8811600
2/25/2020,47.419998,47.490002,45.959999,46.200001,44.726971,6275900
2/26/2020,46.57,46.830002,46.259998,46.32,44.843143,7809400
2/27/2020,45.099998,45.490002,44.060001,44.139999,42.732651,10898400
2/28/2020,43.169998,44.540001,42.279999,44.529999,43.110218,10335000
3/2/2020,44.369999,45.220001,43.75,45.16,43.720127,6713400
3/3/2020,45.900002,46.299999,43.860001,44.060001,42.655201,9045800
3/4/2020,45.5,45.66,44.91,45.650002,44.194508,3686400
3/5/2020,44.580002,44.779999,43.740002,44.040001,42.635841,4686900
3/6/2020,43.150002,43.380001,41.759998,41.869999,40.535027,8762100
3/9/2020,36.279999,36.880001,34.18,34.419998,33.322559,15132500
3/10/2020,37.32,37.48,34.549999,36.029999,34.881226,12043200
3/11/2020,34.720001,35.130001,33.34,33.740002,32.664242,9725400
3/12/2020,31.200001,32.5,28.02,28.809999,27.891428,15433500
3/13/2020,30.73,30.82,26.5,28.870001,27.949516,26026600
3/16/2020,25.309999,25.940001,24,24.01,23.244471,16830400
3/17/2020,24.870001,25.110001,23.25,23.709999,22.954035,22836400
3/18/2020,22.09,22.360001,19.190001,19.58,18.955717,19115100
3/19/2020,21.809999,24.1,21.030001,22.51,21.792295,21719700
