Date,Open,High,Low,Close,Price,Volume
1/2/2020,55.139999,55.279999,54.830002,55.27,51.844318,1166500
1/3/2020,55.27,55.720001,55.220001,55.470001,52.031921,1519000
1/6/2020,56.73,56.91,56.169998,56.509998,53.007458,3516900
1/7/2020,56.310001,56.330002,55.700001,56.189999,52.707287,2463000
1/8/2020,55.939999,56.099998,55.610001,55.849998,52.388367,2831400
1/9/2020,55.59,56.040001,55.25,55.880001,52.416512,2293500
1/10/2020,55.560001,55.630001,55.27,55.459999,52.022541,3621700
1/13/2020,55,55.450001,54.799999,55.400002,51.966263,3270400
1/14/2020,54.799999,54.860001,54.52,54.689999,51.300262,1864800
1/15/2020,54.02,54.360001,53.959999,54.119999,50.765594,1636500
1/16/2020,54.470001,54.5,54.169998,54.299999,50.934433,1091400
1/17/2020,54,54.169998,53.669998,54.009998,50.662407,1500000
1/21/2020,53.509998,53.619999,53.139999,53.150002,49.855717,2023900
1/22/2020,53.040001,53.07,52.77,52.900002,49.621212,1709900
1/23/2020,52.450001,52.799999,52.110001,52.650002,49.386707,1548500
1/24/2020,52.240002,52.41,52.110001,52.259998,49.020878,1766700
1/27/2020,51.18,51.43,50.700001,50.810001,47.660751,2011200
1/28/2020,50.82,51.200001,50.639999,51.07,47.904636,1914200
1/29/2020,51,51.07,50.389999,50.400002,47.276165,1634800
1/30/2020,49.689999,49.98,49.299999,49.889999,46.797775,1824200
1/31/2020,48.919998,49.130001,48.509998,48.59,45.57835,2388900
2/3/2020,48.599998,48.75,48.34,48.5,45.493927,1964600
2/4/2020,49.450001,49.490002,48.860001,48.91,45.878517,2313900
2/5/2020,50.290001,50.34,49.779999,50.040001,46.938477,2393600
2/6/2020,50.209999,50.82,50.139999,50.169998,47.060417,2446700
2/7/2020,49.650002,49.700001,49.330002,49.41,46.347519,3139900
2/10/2020,48.860001,48.98,48.580002,48.869999,45.840992,1770500
2/11/2020,49.150002,49.32,49.029999,49.310001,46.253723,2789200
2/12/2020,49.639999,49.970001,49.389999,49.810001,46.722729,1891300
2/13/2020,49.119999,49.369999,48.959999,49.189999,46.141155,2459400
2/14/2020,49.43,49.43,48.889999,49.209999,46.159916,1414900
2/18/2020,48.290001,48.73,48.259998,48.66,45.644009,1975100
2/19/2020,48.740002,48.889999,48.549999,48.830002,45.803478,1583700
2/20/2020,48.810001,48.880001,48.259998,48.349998,45.353226,1444500
2/21/2020,47.889999,48.09,47.630001,48,45.024914,1733800
2/24/2020,45.720001,45.939999,45.52,45.540001,42.717392,2125300
2/25/2020,45.169998,45.259998,43.900002,44.16,41.422924,3336200
2/26/2020,44.599998,44.84,43.799999,43.91,41.188419,3072000
2/27/2020,43.380001,44.009998,42.75,42.75,40.100315,3756400
2/28/2020,41.82,43.330002,41.32,43.139999,40.466145,5067700
3/2/2020,43.27,44.48,42.849998,44.419998,41.666809,3889700
3/3/2020,44.259998,45.07,43.209999,43.5,40.803829,4042300
3/4/2020,44.360001,44.939999,44.029999,44.830002,42.051395,3292400
3/5/2020,43.630001,43.919998,43.110001,43.540001,40.841354,2737400
3/6/2020,42.5,42.779999,41.889999,42.310001,39.687588,3422800
3/9/2020,36.700001,37.080002,34.759998,34.77,32.614925,11580700
3/10/2020,37.029999,37.27,35.25,37.02,34.725468,6898400
3/11/2020,36.41,36.529999,34.07,34.509998,32.371037,7588500
3/12/2020,31.969999,32,28.809999,29.110001,27.305738,8805600
3/13/2020,31.75,31.75,28.440001,31.219999,29.284958,4990200
3/16/2020,26.620001,27.84,26,26.299999,24.669901,5041200
3/17/2020,27.42,27.92,26.610001,27.629999,25.917467,4181000
3/18/2020,24.73,25.219999,22.129999,24.799999,23.262873,6215000
3/19/2020,23.690001,25.4,22.65,24.76,23.225353,8288700
3/20/2020,25.879999,27.67,25.42,25.42,23.844446,9054400
3/23/2020,29.58,29.58,28.17,28.799999,27.01495,10013400
3/24/2020,32.080002,33.48,31.32,32.970001,30.926493,5664900
3/25/2020,34.290001,36.66,33.52,36.119999,33.881248,6755200
3/26/2020,34.23,36.119999,34.139999,35.369999,33.890831,4558300
3/27/2020,34.209999,35.57,33.369999,35.200001,33.727943,3443400
3/30/2020,36.439999,37.5,35.77,36.779999,35.241863,3966400
3/31/2020,38.330002,38.869999,36.650002,37.240002,35.682632,5090000
4/1/2020,38.349998,39.240002,37.27,37.48,35.912594,4019800
4/2/2020,40.119999,41.119999,38.419998,39.720001,38.058918,4921100
4/3/2020,36.73,36.93,35.23,35.669998,34.178284,3760100
4/6/2020,36.290001,37.209999,35.66,37.209999,35.653885,3129000
4/7/2020,37.650002,37.91,36.32,36.419998,34.896919,4382200
4/8/2020,36.200001,37.209999,35.900002,37.099998,35.548481,2406000
4/9/2020,36.830002,37.639999,35.66,36.740002,35.203541,4393000
4/13/2020,37.049999,37.34,35.700001,36.189999,34.676537,1513400
4/14/2020,36.650002,36.889999,35.279999,35.360001,33.881252,2609200
4/15/2020,33.59,33.93,32.630001,33.68,32.271507,3589600
4/16/2020,32.82,32.860001,31.93,32.25,30.90131,5654000
4/17/2020,33.619999,34.509998,33.34,34.509998,33.066795,4663400
4/20/2020,32.73,33.860001,32.599998,33,31.619946,4369100
4/21/2020,32.099998,32.919998,31.959999,32.529999,31.1696,4820800
4/22/2020,33.82,34.5,33.57,34.369999,32.932652,2635800
4/23/2020,34.630001,35.939999,34.43,34.610001,33.162617,2487900
4/24/2020,35.16,35.23,34.150002,34.150002,32.721851,2673300
4/27/2020,34.099998,35.650002,33.900002,35.16,33.689613,1788500
4/28/2020,35.360001,36,34.790001,35.689999,34.197445,1680700
4/29/2020,36.5,37.5,36.389999,37.5,35.931755,2295200
4/30/2020,35.790001,36.080002,34.950001,35.150002,33.680035,3427200
5/1/2020,34.209999,34.68,32.400002,33.43,32.03196,6654900
5/4/2020,33.220001,33.860001,32.830002,33.560001,32.156525,9243000
5/5/2020,35.759998,36.259998,34.849998,35.009998,33.545887,6894100
5/6/2020,35.099998,35.200001,34.049999,34.209999,32.779343,6293900
5/7/2020,35.189999,35.639999,34.900002,34.900002,33.440491,6277100
5/8/2020,35.369999,36.419998,35.200001,36.419998,34.896919,1691300
5/11/2020,35.349998,35.400002,34.810001,34.810001,33.354252,2042900
5/12/2020,35.27,35.439999,34.5,34.5,33.057217,1542400
5/13/2020,34.490002,34.490002,33.18,33.290001,31.897816,2355900
5/14/2020,32.5,33.77,32.009998,33.73,32.319416,2726800
5/15/2020,33.66,34.09,33.029999,33.029999,31.648691,2057200
5/18/2020,35.830002,36.23,35.380001,35.689999,34.197445,2697900
5/19/2020,36.02,36.080002,35.34,35.349998,33.87167,3637900
5/20/2020,36.470001,36.900002,36.130001,36.490002,34.963993,2874000
5/21/2020,36.41,36.549999,35.470001,36.040001,34.532814,1832600
5/22/2020,36.029999,36.060001,35.330002,36.02,34.513649,1442200
5/26/2020,36.720001,36.889999,36.419998,36.52,34.992741,1554000
5/27/2020,37.759998,37.860001,36.880001,37.259998,35.70179,3055000
5/28/2020,38.049999,38.119999,37.369999,37.439999,35.874264,4483400
5/29/2020,37.48,37.619999,36.959999,37.580002,36.008411,2459100
6/1/2020,37.990002,38.709999,37.889999,38.66,37.043243,2625600
6/2/2020,39.799999,40.040001,38.900002,39.279999,37.637314,5257100
6/3/2020,40.689999,41.049999,40.5,40.84,39.132076,4004500
6/4/2020,40.689999,41.040001,40.299999,40.75,39.045841,4493800
6/5/2020,43.029999,43.549999,42.810001,43.080002,41.2784,3144200
6/8/2020,44.02,44.27,43.290001,44.189999,42.34198,2321200
6/9/2020,42.869999,43,42.349998,42.830002,41.038857,1867600
6/10/2020,42.43,42.689999,41.709999,41.990002,40.233986,2762500
6/11/2020,40.209999,40.439999,38.290001,38.369999,36.765369,2453600
6/12/2020,40.169998,40.439999,38.860001,39.59,37.934353,1503100
6/15/2020,38.43,39.970001,38.240002,39.639999,37.982262,1778900
6/16/2020,40.669998,41.099998,39.75,40.240002,38.557171,2198700
6/17/2020,40.619999,40.700001,39.939999,39.970001,38.298462,2211400
6/18/2020,39.470001,40.110001,39.380001,39.860001,38.193062,2294800
6/19/2020,40.759998,40.77,39.27,39.380001,37.733135,2390400
6/22/2020,39.75,40.02,39.48,39.98,38.308044,1600900
6/23/2020,40.860001,40.959999,40.400002,40.57,38.873367,1453300
6/24/2020,40.169998,40.169998,38.93,39.07,37.4361,1831600
6/25/2020,38.110001,39.220001,37.990002,39.169998,38.291546,1565300
6/26/2020,39.150002,39.240002,38.279999,38.75,37.880966,2221600
6/29/2020,38.810001,39.279999,38.560001,38.900002,38.027603,1471000
6/30/2020,37.98,38.689999,37.790001,38.459999,37.597469,1348300
7/1/2020,38.25,38.759998,38.169998,38.360001,37.499714,1237300
7/2/2020,39.060001,39.549999,38.75,38.970001,38.096035,1524800
7/6/2020,39.740002,40.09,39.41,39.580002,38.692356,1106000
7/7/2020,39.220001,39.25,38.529999,38.540001,37.675678,1413800
7/8/2020,38.549999,39.060001,38.509998,38.869999,37.998276,2166700
7/9/2020,38.299999,38.34,37.080002,37.18,36.346176,2728200
