,source,target,value,label,,,Labels
0,0,1,124.729,stream 1,,0,Agricultural 'waste'
1,1,2,0.597,,,1,Bio-conversion
2,1,3,26.862,,,2,Liquid
3,1,4,280.322,,,3,Losses
4,1,5,81.144,stream 1,,4,Solid
5,6,2,35,,,5,Gas
6,7,4,35,,,6,Biofuel imports
7,8,9,11.606,,,7,Biomass imports
8,10,9,63.965,,,8,Coal imports
9,9,4,75.571,,,9,Coal
10,11,12,10.639,,,10,Coal reserves
11,11,13,22.505,,,11,District heating
12,11,14,46.184,,,12,Industry
13,15,16,104.453,,,13,Heating and cooling - commercial
14,15,14,113.726,,,14,Heating and cooling - homes
15,15,17,27.14,,,15,Electricity grid
16,15,12,342.165,,,16,Over generation / exports
17,15,18,37.797,,,17,H2 conversion
18,15,19,4.412,,,18,Road transport
19,15,13,40.858,,,19,Agriculture
20,15,3,56.691,,,20,Rail transport
21,15,20,7.863,,,21,Lighting & appliances - commercial
22,15,21,90.008,,,22,Lighting & appliances - homes
23,15,22,93.494,,,23,Gas imports
24,23,24,40.719,,,24,Ngas
25,25,24,82.233,,,25,Gas reserves
26,5,13,0.129,,,26,Thermal generation
27,5,3,1.401,,,27,Geothermal
28,5,26,151.891,,,28,H2
29,5,19,2.096,,,29,Hydro
30,5,12,48.58,stream 1,,30,International shipping
31,27,15,7.013,,,31,Domestic aviation
32,17,28,20.897,,,32,International aviation
33,17,3,6.242,,,33,National navigation
34,28,18,20.897,,,34,Marine algae
35,29,15,6.995,,,35,Nuclear
36,2,12,121.066,,,36,Oil imports
37,2,30,128.69,,,37,Oil
38,2,18,135.835,,,38,Oil reserves
39,2,31,14.458,,,39,Other waste
40,2,32,206.267,,,40,Pumped heat
41,2,19,3.64,,,41,Solar PV
42,2,33,33.218,,,42,Solar Thermal
43,2,20,4.413,,,43,Solar
44,34,1,14.375,,,44,Tidal
45,24,5,122.952,,,45,UK land based bioenergy
46,35,26,500,Old generation plant (made-up),,,Wave
47,35,26,139.978,New generation plant (made-up),,,Wind
48,36,37,504.287,,,,
49,38,37,107.703,,,,
50,37,2,611.99,,,,
51,39,4,56.587,,,,
52,39,1,77.81,,,,
53,40,14,193.026,,,,
54,40,13,70.672,,,,
55,41,15,59.901,,,,
56,42,14,19.263,,,,
57,43,42,19.263,,,,
58,43,41,59.901,,,,
59,4,19,0.882,,,,
60,4,26,400.12,,,,
61,4,12,46.477,,,,
62,26,15,525.531,,,,
63,26,3,787.129,,,,
64,26,11,79.329,,,,
65,44,15,9.452,,,,
66,45,1,182.01,,,,
67,46,15,19.013,,,,
68,47,15,289.366,,,,
69,35,26,100,,,,
70,35,26,100,,,,
