,Date,Price,Open,High,Low,Vol.,Change %,year
228,2019-12-31,61.06,61.68,61.88,60.63,494.54K,-1.01%,2019
229,2019-12-30,61.68,61.71,62.34,61.09,427.15K,-0.06%,2019
230,2019-12-27,61.72,61.73,61.97,61.24,351.90K,0.06%,2019
231,2019-12-26,61.68,61.2,61.83,61.06,265.09K,0.80%,2019
232,2019-12-25,61.19,61.45,61.52,61.17,-,0.13%,2019
233,2019-12-24,61.11,60.63,61.16,60.47,204.54K,0.97%,2019
234,2019-12-23,60.52,60.41,60.77,60.1,314.71K,0.13%,2019
235,2019-12-20,60.44,61.11,61.2,60.02,552.52K,-1.27%,2019
236,2019-12-19,61.22,60.86,61.47,60.79,35.46K,0.48%,2019
237,2019-12-18,60.93,60.55,61.18,60.32,131.07K,-0.02%,2019
238,2019-12-17,60.94,60.23,61.06,60.03,163.74K,1.21%,2019
239,2019-12-16,60.21,59.87,60.34,59.71,347.40K,0.23%,2019
240,2019-12-13,60.07,59.36,60.48,59.27,512.29K,1.50%,2019
241,2019-12-12,59.18,58.88,59.72,58.75,530.85K,0.71%,2019
242,2019-12-11,58.76,59.06,59.22,58.11,589.65K,-0.81%,2019
243,2019-12-10,59.24,58.92,59.52,58.52,566.82K,0.37%,2019
244,2019-12-09,59.02,59.11,59.25,58.23,511.56K,-0.30%,2019
245,2019-12-06,59.2,58.32,59.85,57.7,679.61K,1.32%,2019
246,2019-12-05,58.43,58.36,59.12,58.1,649.46K,0.00%,2019
247,2019-12-04,58.43,56.43,58.66,56.28,760.54K,4.15%,2019
248,2019-12-03,56.1,55.96,56.8,55.35,560.55K,0.25%,2019
249,2019-12-02,55.96,55.47,56.67,55.42,616.42K,1.43%,2019
250,2019-11-29,55.17,58.13,58.3,55.02,718.72K,-5.01%,2019
251,2019-11-28,58.08,57.97,58.29,57.64,-,-0.05%,2019
252,2019-11-27,58.11,58.27,58.68,57.51,454.26K,-0.51%,2019
253,2019-11-26,58.41,57.92,58.56,57.76,443.82K,0.69%,2019
254,2019-11-25,58.01,57.92,58.15,57.21,420.64K,0.42%,2019
255,2019-11-22,57.77,58.31,58.74,57.5,508.24K,-1.38%,2019
256,2019-11-21,58.58,57.0,58.67,56.6,593.53K,2.57%,2019
257,2019-11-20,57.11,55.16,57.25,54.76,31.92K,3.44%,2019
258,2019-11-19,55.21,56.9,57.11,55.04,121.21K,-3.23%,2019
259,2019-11-18,57.05,57.88,58.09,56.55,159.33K,-1.16%,2019
260,2019-11-15,57.72,56.91,57.97,56.43,375.99K,1.67%,2019
261,2019-11-14,56.77,57.39,57.79,56.63,516.83K,-0.61%,2019
262,2019-11-13,57.12,56.79,57.53,56.2,547.64K,0.56%,2019
263,2019-11-12,56.8,56.89,57.55,56.54,586.57K,-0.11%,2019
264,2019-11-11,56.86,57.4,57.4,56.25,498.98K,-0.66%,2019
265,2019-11-08,57.24,57.08,57.48,55.76,636.94K,0.16%,2019
266,2019-11-07,57.15,56.35,57.88,56.27,678.17K,1.42%,2019
267,2019-11-06,56.35,57.26,57.85,56.11,623.26K,-1.54%,2019
268,2019-11-05,57.23,56.56,57.5,56.3,435.32K,1.22%,2019
269,2019-11-04,56.54,56.41,57.43,55.83,580.35K,0.60%,2019
270,2019-11-01,56.2,54.15,56.33,54.07,538.12K,3.73%,2019
271,2019-10-31,54.18,54.9,55.59,53.71,677.42K,-1.60%,2019
272,2019-10-30,55.06,55.53,55.73,54.42,659.33K,-0.86%,2019
273,2019-10-29,55.54,55.8,55.91,54.61,521.46K,-0.48%,2019
274,2019-10-28,55.81,56.65,56.92,55.58,437.02K,-1.50%,2019
275,2019-10-25,56.66,56.07,56.74,55.6,445.02K,0.76%,2019
276,2019-10-24,56.23,55.9,56.51,55.41,480.76K,0.46%,2019
277,2019-10-23,55.97,54.3,56.07,53.62,620.20K,3.34%,2019
278,2019-10-22,54.16,53.39,54.62,53.1,33.92K,1.59%,2019
279,2019-10-21,53.31,53.71,54.03,52.71,95.98K,-0.87%,2019
280,2019-10-18,53.78,54.09,54.62,53.35,174.48K,-0.28%,2019
281,2019-10-17,53.93,52.99,54.16,52.62,418.42K,1.07%,2019
282,2019-10-16,53.36,52.92,53.74,52.51,451.64K,1.04%,2019
283,2019-10-15,52.81,53.51,53.79,52.39,511.25K,-1.46%,2019
284,2019-10-14,53.59,54.9,54.9,52.77,467.64K,-2.03%,2019
285,2019-10-11,54.7,53.88,54.93,53.64,741.70K,2.15%,2019
