,Date,Price,Open,High,Low,Vol.,Change %,year
0,11/9/2020,40.91,37.81,40.91,37.7,-,8.28%,2020
1,11/8/2020,37.78,37.4,37.91,37.17,-,1.72%,2020
2,11/6/2020,37.14,38.54,38.61,37.06,411.03K,-4.25%,2020
3,11/5/2020,38.79,39.17,39.35,38.27,298.37K,-0.92%,2020
4,11/4/2020,39.15,38.15,39.25,37.26,437.00K,3.96%,2020
5,11/3/2020,37.66,37.03,38.32,36.57,410.61K,2.31%,2020
6,11/2/2020,36.81,35.24,37.15,33.64,489.20K,2.85%,2020
7,10/30/2020,35.79,36.07,36.6,35.21,388.97K,-1.05%,2020
8,10/29/2020,36.17,37.39,37.76,34.92,568.82K,-3.26%,2020
9,10/28/2020,37.39,38.97,39.01,36.97,489.95K,-5.51%,2020
10,10/27/2020,39.57,38.59,39.83,38.51,339.54K,2.62%,2020
11,10/26/2020,38.56,39.69,39.74,38.28,360.18K,-3.24%,2020
12,10/23/2020,39.85,40.61,40.92,39.57,268.93K,-1.94%,2020
13,10/22/2020,40.64,40.04,41.02,39.71,307.49K,1.52%,2020
14,10/21/2020,40.03,41.22,41.59,39.78,366.90K,-3.45%,2020
15,10/20/2020,41.46,40.65,41.7,40.25,24.52K,1.54%,2020
16,10/19/2020,40.83,40.69,41.22,40.54,75.34K,-0.12%,2020
17,10/16/2020,40.88,40.88,41.05,40.08,96.49K,-0.20%,2020
18,10/15/2020,40.96,41.13,41.29,39.22,248.25K,-0.19%,2020
19,10/14/2020,41.04,40.19,41.16,39.82,328.30K,2.09%,2020
20,10/13/2020,40.2,39.53,40.53,39.35,375.47K,1.95%,2020
21,10/12/2020,39.43,40.4,40.45,39.04,322.04K,-2.88%,2020
22,10/9/2020,40.6,41.31,41.47,40.38,331.70K,-1.43%,2020
23,10/8/2020,41.19,39.99,41.33,39.76,409.79K,3.10%,2020
24,10/7/2020,39.95,39.83,40.35,39.28,433.07K,-1.77%,2020
25,10/6/2020,40.67,39.35,40.86,39.1,400.53K,3.70%,2020
26,10/5/2020,39.22,37,39.72,37,378.58K,5.86%,2020
27,10/2/2020,37.05,38.6,38.65,36.63,391.43K,-4.31%,2020
28,10/1/2020,38.72,39.9,40.47,37.61,443.44K,-3.73%,2020
29,9/30/2020,40.22,39.16,40.37,38.68,340.29K,2.37%,2020
30,9/29/2020,39.29,40.58,40.7,38.41,379.60K,-3.23%,2020
31,9/28/2020,40.6,40.07,40.8,39.78,226.43K,0.87%,2020
32,9/25/2020,40.25,40.15,40.64,39.71,229.03K,-0.15%,2020
33,9/24/2020,40.31,39.6,40.37,39.12,269.99K,0.95%,2020
34,9/23/2020,39.93,39.76,40.75,39.26,318.75K,0.83%,2020
35,9/22/2020,39.6,39.63,40.02,39,23.22K,0.74%,2020
36,9/21/2020,39.31,40.98,41.27,38.66,66.20K,-4.38%,2020
37,9/18/2020,41.11,40.97,41.49,40.3,73.76K,0.34%,2020
38,9/17/2020,40.97,40.19,41.22,39.42,280.67K,2.02%,2020
39,9/16/2020,40.16,38.35,40.34,38.35,367.61K,4.91%,2020
40,9/15/2020,38.28,37.28,38.57,37.06,348.86K,2.74%,2020
41,9/14/2020,37.26,37.32,37.68,36.82,347.56K,-0.19%,2020
42,9/11/2020,37.33,37.01,37.82,36.67,363.79K,0.08%,2020
43,9/10/2020,37.3,37.8,38.18,36.93,367.56K,-1.97%,2020
44,9/9/2020,38.05,36.79,38.45,36.16,455.36K,3.51%,2020
45,9/8/2020,36.76,39.48,39.59,36.13,720.98K,-6.22%,2020
46,9/7/2020,39.2,38.77,39.53,38.77,-,1.16%,2020
47,9/6/2020,38.75,39.47,39.48,38.57,-,-2.56%,2020
48,9/4/2020,39.77,41.25,41.87,39.35,444.18K,-3.87%,2020
49,9/3/2020,41.37,41.63,41.79,40.22,417.63K,-0.34%,2020
50,9/2/2020,41.51,43.02,43.21,41.23,421.77K,-2.92%,2020
51,9/1/2020,42.76,42.83,43.43,42.72,285.15K,0.35%,2020
52,8/31/2020,42.61,42.91,43.57,42.56,236.88K,-0.84%,2020
53,8/28/2020,42.97,42.98,43.42,42.69,272.80K,-0.16%,2020
54,8/27/2020,43.04,43.45,43.5,42.36,320.97K,-0.81%,2020
55,8/26/2020,43.39,43.39,43.78,43,262.24K,0.09%,2020
56,8/25/2020,43.35,42.36,43.57,42.31,330.80K,1.71%,2020
